"Year","Count"
"2003",7321
"2004",6475
"2005",4248
"2006",4652
"2007",5052
"2008",5017
"2009",6981
"2010",10042
"2011",7994
"2012",7148
"2013",7761
"2014",7866
"2015",6575
"2016",5241
"2017",4880
"2018",6460
